sample_ID,Ro,Ra,vol_acetone_mL,vol_coral_extract_mL,ug_chla_L,ug_chla_total,ug_chla_cm,tin_weight_mg
A5-A,90.3,45.7,6,5,42.49488,0.44619624,0.051479529,56.15
A5-S,482,227,6,0.5,2429.64,24.2964,1.71066111,90.11
A13-A,40.5,22.3,6,5,17.34096,0.1734096,0.015444141,71.86
A13-S,346,176,6,5,161.976,2.0247,0.113329908,112.58
A14-A,205,101,6,5,99.0912,0.990912,0.070619123,89.06
A14-S,455,216,6,0.5,2277.192,25.049112,1.375239756,114.72
A8-S,86,41.3,6,0.1,2129.508,21.29508,1.514641,89.23
A8-A,37.1,22.3,6,0.5,141.0144,1.3396368,0.145219498,59.57
A15-S,606,282,6,0.5,3087.072,30.87072,2.170805422,90.22
A15-A,669,313,6,0.5,3391.968,33.91968,1.3878211,152.92
A24-S,953,438,6,0.5,4906.92,49.0692,1.849303607,165.76
A24-A,479,236,6,5,231.5304,2.315304,0.141119507,103.63
A25-S,223,105,6,0.5,1124.304,14.615952,1.854395004,51.33
A25-A,480,234,6,5,234.3888,3.0470544,0.261688328,74.41
A9-S,75.1,36,6,0.5,372.5448,4.8430824,0.49270191,63.28
A9-A,382,179,6,5,193.4184,2.5144392,0.326237866,50.26
A10-S,321,154,6,0.5,1591.176,15.91176,0.97711435,102.88
A10-A,49.4,26.1,6,5,22.20024,0.2220024,0.013776202,101.84
A19-S,69.2,34.8,6,0.5,327.7632,3.277632,0.167757469,122.84
A19-A,48.5,22.6,6,5,24.67752,0.2467752,0.020513078,76.78
A12-S,84.3,42,6,0.5,403.0344,4.030344,NA,NA
A12-A,119,64.8,6,5,51.64176,0.61970112,NA,NA
A21-S,298,153,6,0.5,1381.56,13.8156,1.133517937,77.75
A21-A,13.4,4.23,6,5,8.737176,0.08737176,0.012139705,47.13
A18-S,614,292,6,0.5,3068.016,33.748176,0.914567862,229.36
A18-A,982,461,6,5,496.4088,4.964088,0.218289274,142.49
S1-S,321,182,6,5,132.4392,1.324392,0.062421796,133.14
S1-A,1.71,-0.5,6,5,2.105688,0.02105688,0.001815787,74.12
S6-S,591,292,6,0.5,2848.872,28.48872,1.891847094,95.36
S6-A,-4,,6,5,-3.8112,-0.038112,-0.004783024,51.86
S7-S,256,126,6,0.1,6193.2,61.932,2.397854429,161.43
S7-A,127,62.4,6,0.5,615.5088,6.155088,0.22436279,171.28
S9-S,786,364,6,0.5,4020.816,40.20816,1.963908538,128.58
S9-A,-1.5,,6,5,-1.4292,-0.014292,-0.001071835,84.78
S10-S,199,94.2,6,0.1,4992.672,49.92672,1.100075069,281.41
S10-A,-1.3,,6,5,-1.23864,-0.0123864,-0.00123935,64.29
S27-S,78.1,38.4,6,0.5,378.2616,3.782616,0.40229554,60.66
S27-A,-5.2,,6,5,-4.95456,-0.0495456,-0.005417757,59.08
A11-S,449,217,6,0.5,2210.496,22.10496,1.638344976,85.75
A11-A,1.29,0.255,6,5,0.986148,0.00986148,0.001195779,53.57
S11-S,687,322,6,0.5,3477.72,36.51606,2.143685894,107.48
S11-A,252,120,6,5,125.7696,1.257696,0.109750045,73.28
S15-S,244,118,6,0.5,1200.528,12.00528,2.483667757,32.63
S15-A,196,97,6,5,94.3272,1.0847628,0.090526126,76.49
S26-S,394,187,6,0.1,9861.48,98.6148,5.935751819,104.9
S26-A,80.9,38.4,6,0.1,2024.7,20.247,2.06286927,63.19
S12-S,228,108,6,0.1,5716.8,57.168,1.362222256,260.44
S12-A,104,51.4,6,0.5,501.1728,5.011728,0.18329537,170.72
S16-S,188,92.3,6,0.5,911.8296,9.118296,0.677290125,85.57
S16-A,199,99.6,6,5,94.70832,0.9470832,0.060307791,99.32
S17-S,235,116,6,0.5,1133.832,11.33832,1.013930645,71.58
S17-A,599,287,6,5,297.2736,2.972736,0.30515828,62.74
S18-S,138,67.4,6,0.5,672.6768,6.726768,0.406408019,104.52
S18-A,497,247,6,5,238.2,2.382,0.078772785,188.49
S19-S,553,263,6,0.5,2763.12,27.6312,0.954514506,180.57
S19-A,640,306,6,5,318.2352,3.182352,0.247841903,81.75
S21-S,445,211,6,0.5,2229.552,24.525072,0.963659704,159.11
S21-A,368,183,6,5,176.268,2.20335,0.095056632,145.18
S22-S,81,42.9,6,0.1,1815.084,18.15084,0.583301197,193.88
S22-A,74.6,37.4,6,0.5,354.4416,4.0760784,0.217025088,118.2
D1,15,11.8,6,5,3.04896,0.038112,0.001812833,94.14
D2,21.9,11.1,6,5,10.29024,0.1029024,0.005320376,86.65
D3,23.6,16.4,6,5,6.86016,0.07546176,0.005476143,61.89
D4,22.1,15.3,6,5,6.47904,0.0647904,0.004488136,64.81
D5,14.1,9.22,6,5,4.649664,0.051146304,0.003035321,75.56
D6,10.7,7.24,6,5,3.296688,0.03296688,0.002070423,71.43
D7,25.8,12.5,6,5,12.67224,0.1267224,0.026019894,22.22
D8,17.2,13.7,6,5,3.3348,0.0366828,0.002571483,64.05
D9,16.4,11.5,6,5,4.66872,0.0466872,0.002565516,81.56
D10,4.38,3.56,6,5,0.781296,0.00781296,0.000599203,58.59
D11,10.1,9.4,6,5,0.66696,0.0066696,0.000342493,87.24
D12,10.1,6.9,6,5,3.04896,0.0304896,0.001875944,72.9
D13,5.57,4.19,4,5,0.876576,0.00876576,0.001254771,31.64
D14,12.5,10.1,6,5,2.28672,0.028584,0.001224256,104.49
D15,5.04,2.67,6,5,2.258136,0.02258136,0.002259641,45.03