sample_ID,full_ID,sa_colony,month,year,timepoint,surface_area
A01,A-01-1123,Aposymbiotic,November,2023,Nov_23,21.672538
A03,A-03-1123,Aposymbiotic,November,2023,Nov_23,14.069828
A05,A-05-1123,Aposymbiotic,November,2023,Nov_23,13.840736
A08,A-08-1123,Aposymbiotic,November,2023,Nov_23,10.880508
A13,A-13-1123,Aposymbiotic,November,2023,Nov_23,12.594206
A14,A-14-1123,Aposymbiotic,November,2023,Nov_23,12.80533
A15,A-15-1123,Aposymbiotic,November,2023,Nov_23,12.293242
A17,A-17-1123,Aposymbiotic,November,2023,Nov_23,11.511634
A18,A-18-1123,Aposymbiotic,November,2023,Nov_23,18.912204
A24,A-24-1123,Aposymbiotic,November,2023,Nov_23,17.086206
A25,A-25-1123,Aposymbiotic,November,2023,Nov_23,19.972316
S01,S-01-1123,Symbiotic,November,2023,Nov_23,14.889618
S02,S-02-1123,Symbiotic,November,2023,Nov_23,11.35666
S03,S-03-1123,Symbiotic,November,2023,Nov_23,8.389694
S04,S-04-1123,Symbiotic,November,2023,Nov_23,8.510978
S05,S-05-1123-A,Symbiotic,November,2023,Nov_23,13.162444
S05,S-05-1123-B,Symbiotic,November,2023,Nov_23,13.764372
S07,S-07-1123,Symbiotic,November,2023,Nov_23,8.872584
S08,S-08-1123,Symbiotic,November,2023,Nov_23,15.210796
S09,S-09-1123,Symbiotic,November,2023,Nov_23,10.406602
S10,S-10-1123,Symbiotic,November,2023,Nov_23,14.89411
S15,S-15-1123,Symbiotic,November,2023,Nov_23,8.951194
S20,S-20-1123,Symbiotic,November,2023,Nov_23,19.091884
S23,S-23-1123,Symbiotic,November,2023,Nov_23,13.465654
S25,S-25-1123,Symbiotic,November,2023,Nov_23,10.07644
S26,S-26-1123,Symbiotic,November,2023,Nov_23,12.33367
A01,A-01-0524,Aposymbiotic,May,2024,May_24,39.629308
A08,A-08-0524,Aposymbiotic,May,2024,May_24,18.287816
A11,A-11-0524,Aposymbiotic,May,2024,May_24,41.201508
A14,A-14-0524,Aposymbiotic,May,2024,May_24,35.200196
A15,A-15-0524,Aposymbiotic,May,2024,May_24,26.058976
A24,A-24-0524,Aposymbiotic,May,2024,May_24,36.550042
A25,A-25-0524,Aposymbiotic,May,2024,May_24,39.350804
S01,S-01-0524,Symbiotic,May,2024,May_24,21.645586
S02,S-02-0524,Symbiotic,May,2024,May_24,25.51769
S05,S-05-0524,Symbiotic,May,2024,May_24,32.875586
S06,S-06-0524,Symbiotic,May,2024,May_24,44.00227
S07,S-07-0524,Symbiotic,May,2024,May_24,31.251728
S08,S-08-0524,Symbiotic,May,2024,May_24,39.508024
S09,S-09-0524,Symbiotic,May,2024,May_24,27.65139
S10,S-10-0524,Symbiotic,May,2024,May_24,36.064906
S15,S-15-0524,Symbiotic,May,2024,May_24,22.27222
S20,S-20-0524,Symbiotic,May,2024,May_24,23.6872
S24,S-24-0524,Symbiotic,May,2024,May_24,28.069146
A05,A5-1124,Aposymbiotic,November,2024,Nov_24,3.005149
A13,A13-1124,Aposymbiotic,November,2024,Nov_24,3.335406
A14,A14-1124,Aposymbiotic,November,2024,Nov_24,3.502697
A08,A8-1124,Aposymbiotic,November,2024,Nov_24,3.02712
A15,A15-1124,Aposymbiotic,November,2024,Nov_24,3.843161
A24,A24-1124,Aposymbiotic,November,2024,Nov_24,4.0702235
A25,A25-1124,Aposymbiotic,November,2024,Nov_24,2.827651
A09,A9-1124,Aposymbiotic,November,2024,Nov_24,2.722121
A10,A10-1124,Aposymbiotic,November,2024,Nov_24,3.510828
A19,A11-new-1124,Aposymbiotic,November,2024,Nov_24,3.466713
A12,A12-1124,Aposymbiotic,November,2024,Nov_24,#VALUE!
A21,A14-new-1124,Aposymbiotic,November,2024,Nov_24,2.820212
A18,A18-1124,Aposymbiotic,November,2024,Nov_24,4.9565025
S01,S1-1124,Symbiotic,November,2024,Nov_24,3.532799
S06,S6-1124,Symbiotic,November,2024,Nov_24,3.013453
S07,S7-1124,Symbiotic,November,2024,Nov_24,4.6179415
S09,S9-1124,Symbiotic,November,2024,Nov_24,3.585564
S10,S10-1124,Symbiotic,November,2024,Nov_24,4.730305
S27,S11-new-1124,Symbiotic,November,2024,Nov_24,2.775751
A11,A11-old-1124,Aposymbiotic,November,2024,Nov_24,2.945118
S11,S11-old-1124,Symbiotic,November,2024,Nov_24,3.303574
S15,S15-1124,Symbiotic,November,2024,Nov_24,2.683888
S26,S26-1124,Symbiotic,November,2024,Nov_24,3.1939785
S12,S12-1124,Symbiotic,November,2024,Nov_24,5.469534
S16,S16-1124,Symbiotic,November,2024,Nov_24,3.3392985
S17,S17-1124,Symbiotic,November,2024,Nov_24,2.901868
S18,S18-1124,Symbiotic,November,2024,Nov_24,4.2745365
S19,S19-1124,Symbiotic,November,2024,Nov_24,4.009068
S21,S21-1124,Symbiotic,November,2024,Nov_24,4.3721085
S22,S22-1124,Symbiotic,November,2024,Nov_24,4.439492